feature,importance
"location_Sun Footprints, Shela Ahmedabad",0.0
"location_Surya Emerald, Iscon Ambli Road Ahmedabad",0.0
"location_Sun Sky Park, Bopal Ahmedabad",0.0
"location_Shivalik Edge, Ambli Ahmedabad",0.0
"location_The Bungalows, Satellite Ahmedabad",0.0
"location_The Emberlynn, Ambli Bopal Road Ahmedabad",0.0
"location_The Gold by Samor, Hebatpur Ahmedabad",0.0
"location_The Indus, Sindhu Bhavan Marg Ahmedabad",0.0
"location_Turquoise Grandeur, Godhavi Ahmedabad",0.0
"location_The Verity, Satellite Ahmedabad",0.0
"location_Times 40, Bodakdev Ahmedabad",0.0
"location_Times 40, Rajpath Rangoli Road Ahmedabad",0.0
"location_The Kimana Tower, Ambli Ahmedabad",0.0
"location_The North, Iscon Ambli Road Ahmedabad",0.0
"location_The Sovereign, Thaltej Ahmedabad",0.0
"location_The Storeys, Sarkhej Gandhinagar Highway Ahmedabad",0.0
"location_Venus Pashmina, Bodakdev Ahmedabad",0.0
location_Vastral Ahmedabad,0.0
location_Vasna Ahmedabad,0.0
"location_ZION WINDFIELD, Thaltej Ahmedabad",0.0
"location_Z Luxuria, Thaltej Ahmedabad",0.0
"location_shaligram Luxuria, Ambli Ahmedabad",0.0
"location_shaligram Luxuria, Ambli Bopal Road Ahmedabad",0.0
"location_visionnaire, Sindhu Bhavan Marg Ahmedabad",0.0
